"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"BRN1","YBL097W","ORF","40831-43095","+","II",NA,NA,NA,NA,"0000070; 0030261; 0003682; 0007076; 0007076; 0007076; 0007076; 0000796; 0007076; 0000799; 0000799; 0000799; 0000799; 0000799; 0070058; 0051301; 0007049; 0005737; 0005737; 0007067; 0005694; 0005694; 0005634; 0005634; 0006268; 0005634",2.912476735,2.86360769,2.794734176,2.717473665,2.583179929,2.541013827,2.524639415,2.591735552,2.437335434,2.275660068,2.106969069,1.995775112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POP4","YBR257W","ORF","728885-729724","+","II",NA,NA,NA,NA,"0033204; 0004526; 0006364; 0008033; 0000171; 0005655; 0000172; 0034965; 0008033; 0000172; 0003723; 0004540; 0005655; 0006364; 0006379; 0008033; 0030677; 0000172; 0030677; 0000172; 0000294; 0006364; 0042134; 0005634; 0005634; 0003723",23.52863329,23.76995547,23.90509359,23.88831488,23.79506444,23.24146234,21.6567387,16.73134088,16.72525763,17.81265041,20.39151735,24.6398833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTC4","YBR255W","ORF","724456-726540","+","II",NA,0,0.666666666666667,0.333333333333333,"0003674; 0008150; 0016020; 0016021; 0016020; 0005737; 0005737; 0005737",15.26552822,15.51552326,15.9221866,16.42786606,17.35701688,17.83128658,17.99727493,17.71852493,16.00675911,15.44259944,15.62688917,17.48112972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RSC6","YCR052W","ORF","214994-216445","+","III",NA,NA,NA,NA,"0015616; 0016586; 0016569; 0016584; 0006337; 0005634; 0005634; 0032968; 0015616; 0015616; 0016586; 0015616; 0043044; 0043044; 0043044; 0016586; 0006355; 0006351",58.97875459,57.81619283,56.17157365,54.18388166,50.73636487,48.88753422,47.52374175,47.16059409,45.91891575,46.62633345,49.69680046,56.76236504,47.13787855,45.92501031,43.95972626,40.77096408,35.46672083,29.78169128,27.83347421,27.02599224,26.63220261,24.87545009,23.49047835,22.68300586
"AIM1","YAL046C","ORF","57029-57385","-","I",NA,NA,NA,NA,NA,66.70425533,69.18923516,72.26982812,75.36567048,80.77900677,80.40799115,79.60320195,81.24000833,82.24596812,82.45317833,82.27890029,81.533465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VMA1","YDL185W","ORF","126787-130002","+","IV",NA,0,0,1,"0033178; 0005774; 0003677; 0007035; 0003677; 0000221; 0000221; 0000329; 0000221; 0044267; 0003729; 0006811; 0006810; 0004519; 0016020; 0000329; 0004518; 0016787; 0046961; 0004519; 0012505; 0005524; 0015992; 0016539; 0046034; 0000166; 0000329; 0006314; 0015992; 0005773; 0005524; 0015991; 0016820; 0030908",228.3657443,223.8910876,217.8947168,211.1566878,199.2588076,195.0637865,193.5239818,197.8977857,194.5227623,191.7968762,189.8092069,190.1959008,4783.575122,4799.620628,4817.353988,4840.101372,4864.558038,4914.315827,4785.543504,4561.319044,4190.723356,3971.636992,3967.374852,4349.185113
"YBR141W-A","YBR141W-A","ORF","527167-527262","+","II",NA,NA,NA,NA,NA,56.91453386,56.64934105,55.90113982,54.78436621,52.05018094,50.62272486,50.53479605,54.71216655,55.58431843,55.8347842,56.19334455,57.25652219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDC39","YCR093W","ORF","280117-286443","+","III",NA,NA,NA,NA,"0000932; 0007124; 0006355; 0017148; 0005737; 0005737; 0005634; 0005634; 0032968; 0000289; 0005737; 0006357; 0003674; 0006351; 0005634; 0051726; 0030015; 0000749; 0000288; 0000288; 0000288; 0006368; 0006368; 0032947",14.98965232,14.561245,14.09637709,13.70795866,13.15561287,13.37724009,13.78972211,14.49659955,14.40144415,14.33410837,14.1351414,13.87682251,64.75004863,64.63567377,65.12475891,66.34354907,69.01329717,74.29793974,76.91860947,77.63752078,72.52237136,69.84438725,68.21464761,69.2470825
"MRPL37","YBR268W","ORF","741299-741616","+","II",NA,NA,NA,NA,"0005739; 0005739; 0005840; 0005762; 0032543; 0003735; 0030529; 0030435; 0005739",57.91766636,59.02809138,60.3861318,61.36344986,63.32387515,61.41712681,58.96496906,55.26891852,57.00988245,59.65901514,64.00663993,69.36098682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETR1","YBR026C","ORF","292877-294019","-","II",NA,0,0,1,"0006629; 0006631; 0055114; 0005739; 0006633; 0019166; 0004319; 0016491; 0055114; 0016631; 0006633; 0009060; 0005739; 0005739; 0005739; 0016491; 0008270; 0005739; 0003677; 0005759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.1368009,106.8489872,105.998435,104.0148147,97.74787092,97.11140653,117.234099,142.8908924,162.9301823,161.8085313,146.8480854,113.2340081
"SUS1","YBR111W-A","ORF","462139-462579","+","II",NA,NA,NA,NA,"0006355; 0000124; 0005643; 0015031; 0051028; 0008047; 0006351; 0071033; 0034729; 0051568; 0016973; 0005654; 0000973; 0071819; 0016578; 0003713; 0071819; 0070390; 0070390; 0005634; 0000932; 0032880; 0005654; 0006810; 0016569; 0006368; 0045893; 0016578; 0003713; 0003682; 0000124; 0003713; 0005643; 0006406; 0045893; 0005643; 0005643; 0005737; 0005643; 0045944; 0045944; 0006368; 0006406; 0000124; 0005634; 0005737",150.6936035,149.9004579,149.5434564,149.0388716,150.1041575,147.635606,145.9162375,148.8280999,141.4317856,133.2562706,122.9277591,110.5972516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLK1","YCL040W","ORF","50838-52340","+","III","glucose-6-phosphate biosynthesis; mannose degradation; superpathway of glucose fermentation",0,0,1,"0004340; 0004340; 0006013; 0006096; 0005829; 0046323; 0004340; 0016310; 0001678; 0004396; 0005536; 0016773; 0046835; 0005886; 0016301; 0000166; 0008865; 0001678; 0019158; 0005524; 0005524; 0005975; 0006096; 0006096; 0016740; 0006006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350.200795,1425.064338,1496.025166,1573.868118,1639.522297,1628.264016,1532.057456,1447.485834,1569.612947,1560.922351,1476.14655,1269.021963
"APD1","YBR151W","ORF","545028-545978","+","II",NA,NA,NA,NA,"0008150; 0005634; 0005737; 0005634; 0005737; 0005737; 0005634; 0003674",86.16221253,87.7266992,91.01847625,95.22377757,105.6254341,107.2871884,108.1362779,111.4191664,106.7457001,103.9058859,101.3001649,100.593014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS9B","YBR189W","ORF","604508-605508","+","II",NA,NA,NA,NA,"0030686; 0003735; 0005622; 0005737; 0005737; 0045903; 0045903; 0045903; 0045903; 0000462; 0003735; 0003723; 0030529; 0003723; 0006364; 0042254; 0032040; 0019843; 0005634; 0005840; 0019843; 0006412; 0022627; 0015935; 0019843; 0005730",2918.569619,2921.134423,2921.322982,2921.905279,2913.693041,2927.029872,2932.477928,2899.913353,2909.27404,2923.025989,2944.1831,2975.214861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLM4","YBR077C","ORF","391805-392293","-","II",NA,NA,NA,NA,"0034448; 0000329; 0016237; 0031902; 0007165; 0000329; 0005737; 0005774; 0000329; 0000329; 0034448; 0005773; 0016020; 0003674; 0015031; 0006914; 0006810; 0016021; 0034448; 0007165; 0016237",52.85405653,52.52576617,52.66806809,52.79057181,54.55597274,52.66313226,51.74219581,55.54216554,55.18785968,55.47535465,56.12256126,57.14006044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYO4","YAL029C","ORF","87855-92270","-","I",NA,NA,NA,NA,"0003779; 0051015; 0016459; 0000166; 0005933; 0008298; 0005933; 0008298; 0008298; 0008298; 0008298; 0005739; 0005524; 0016459; 0051015; 0006810; 0048309; 0003774; 0007533; 0005524; 0005934; 0005933; 0005516; 0005739; 0048309; 0000146; 0031941; 0051028",20.62596628,20.09166862,19.30997808,18.43930308,16.67202378,16.33884737,16.37623897,17.1820491,16.87317635,16.85663232,17.16401806,18.24121695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDM10","YAL010C","ORF","134184-135665","-","I",NA,NA,NA,NA,"0032865; 0005739; 0007005; 0003674; 0070096; 0032865; 1990456; 0005741; 0005741; 0070096; 0005741; 0045040; 0051654; 0000002; 0015914; 0032865; 0007005; 0070096; 0006461; 0001401; 0016021; 0016020; 0045040; 0032865; 0031307",10.57774341,10.40276603,10.18635438,9.903666434,9.609056229,9.073929591,8.534645961,8.119022589,7.796501742,7.465246676,7.200103722,6.982607618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHO88","YBR106W","ORF","452658-453224","+","II",NA,NA,NA,NA,"0003674; 0006817; 0005783; 0006817; 0016020; 0005739; 0005739; 0005739; 0005739; 0006810; 0016020; 0016020; 0005739; 0006817; 0016021; 0006817; 0051604",741.0662047,750.9388797,763.1150944,780.0295917,802.1243361,836.095951,860.8341595,840.0701977,888.4997264,909.2556673,903.462545,844.266733,595.2722787,593.5382387,588.392068,578.3924963,563.5936009,532.6140888,506.3685273,485.8853623,492.9746054,459.6465731,407.1193962,326.1183191
"PPS1","YBR276C","ORF","757620-760043","-","II",NA,NA,NA,NA,"0004721; 0006470; 0000188; 0000188; 0008138; 0033260; 0004721; 0004725; 0016787; 0007049; 0004725; 0016311; 0016791; 0006470; 0008138; 0005575; 0008138",20.8911232,20.80482039,20.75289344,20.68535363,20.83405893,20.51028896,20.06499054,19.45270077,18.9757164,18.87866758,19.15015365,19.96890172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARF1","YDL192W","ORF","116321-116866","+","IV",NA,0,0,1,"0005794; 0000166; 0006893; 0016236; 0005622; 0005525; 0006893; 0016192; 0006810; 0005829; 0007264; 0005525; 0006888; 0006888; 0015031; 0005794; 0005794; 0005794; 0003924",933.5442537,939.5929751,944.5192306,949.1171755,949.4664956,957.2770074,954.093963,907.8202203,920.2960752,938.807949,966.681297,1001.812027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UBP14","YBR058C","ORF","353672-356017","-","II",NA,0,0,1,"0005634; 0005737; 0016579; 0043161; 0006508; 0005737; 0005737; 0008234; 0004843; 0045721; 0036459; 0005634; 0004843; 0008233; 0005737; 0008270; 0006511; 0016579; 0004197; 0061136; 0046872; 0016787; 0036459; 0005634",30.29147218,29.98731581,29.58491776,29.13513844,28.3210511,28.13892085,27.88503058,27.31905282,25.7447619,25.54300384,26.57257342,29.95924627,9.803837383,9.70419979,9.682355371,9.749412388,9.981768294,10.60143806,11.04053316,11.51501934,11.88214217,12.43113383,12.66175696,12.3020095
"ACH1","YBL015W","ORF","194122-195702","+","II",NA,0,0,1,"0003986; 0005739; 0006083; 0005739; 0005739; 0005829; 0003986; 0016787; 0003824; 0006084; 0008775; 0005737; 0005737; 0005739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.2428466,359.2900107,367.2656102,376.876687,387.6600366,381.1312032,368.3562867,354.5153699,357.8350172,360.8411496,349.5240497,310.1811015
"RPL32","YBL092W","ORF","45978-46370","+","II",NA,NA,NA,NA,"0002181; 0022625; 0003735; 0005622; 0005840; 0030529; 0003735; 0005737; 0005737; 0005840; 0006412",3978.104904,3988.032826,3991.575834,3995.311773,3976.535072,4003.213104,4015.571182,3958.534627,4013.27328,4029.326493,4016.722489,3946.391662,1380.231984,1410.54928,1452.236101,1516.339157,1622.365587,1665.576073,1738.733836,1779.754682,1727.776066,1718.572843,1709.074667,1703.243694
"MEC1","YBR136W","ORF","505668-512774","+","II",NA,0,0,1,"0016740; 0016569; 0004672; 0006139; 0005739; 0007131; 0006310; 0000722; 0000723; 0016572; 0016572; 0000724; 0051321; 0004674; 0006975; 0006974; 0005634; 0005634; 0005524; 0016301; 0004674; 0006260; 0004672; 2000105; 0000166; 0006281; 0005739; 0016301; 0016310; 0005634",2.417927306,2.478307466,2.569797511,2.694075801,2.903981213,3.072726346,3.220152103,3.34377983,3.375072304,3.369836054,3.285730836,3.110725284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CWH43","YCR017C","ORF","144773-147634","-","III",NA,0,0,1,"0006506; 0005886; 0016021; 0016021; 0006506; 0003674; 0005935; 0005934; 0005887; 0031505; 0005783; 0005886; 0005789; 0005783; 0016020; 0006506",39.73356071,39.12936749,38.4434783,37.71324026,36.88501236,36.13019114,35.82715444,37.18332807,36.47524685,36.21542437,36.48539578,37.96345845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OCA4","YCR095C","ORF","288170-289258","-","III",NA,NA,NA,NA,"0005737; 0008150; 0003674",24.61228629,25.70716057,26.97737063,28.2582716,30.37538143,30.79460511,29.5297174,23.74959301,22.39875251,22.83490191,25.14021222,30.16376824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SKT5","YBL061C","ORF","105316-107406","-","II",NA,NA,NA,NA,"0016020; 0005886; 0005886; 0005935; 0000144; 0034221; 0005935; 0000131; 0008047; 0034221; 0005935",30.36644509,30.29984509,30.0222185,29.700751,28.71981454,28.84678164,29.17557077,29.68923989,30.91603189,32.11964385,33.74792428,36.08763264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEP1","YAL013W","ORF","129270-130487","+","I",NA,NA,NA,NA,"0006357; 0070210; 0016569; 0033698; 0016575; 0031939; 0061188; 0061186; 0016575; 0000122; 0031939; 0016575; 0031939; 0031939; 0031939; 0006357; 0003674; 0045944; 0033698; 0000122; 0061408; 0005737; 0005737; 0006351; 0005634; 0005634; 0006355; 0016575; 0033698; 0070210; 1900525; 1900472; 1900471; 1900526; 1900473; 0031939; 0030174; 1900375; 0033698; 0033698",31.48960524,29.05932453,25.9072197,22.23926514,16.62319924,12.93225985,11.35004016,15.16218636,17.61995526,17.91524844,17.09069314,13.81152609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP1","YBL099W","ORF","37053-38690","+","II",NA,0,0.5,0.5,"0015992; 0005754; 0015986; 0032559; 0005739; 0016020; 0046933; 0005754; 0016887; 0015992; 0046034; 0045261; 0005524; 0006754; 0005739; 0006810; 0005524; 0015986; 0015991; 0016820; 0033178; 0045261; 0046933; 0046961; 0005743; 0005743; 0005754; 0016021; 0046933; 0042645; 0006811; 0005739; 0046933; 0005739; 0015986; 0000166",208.9621243,207.5911649,207.8846933,208.3646363,214.9212036,210.3017759,205.1075289,206.2900615,184.2462563,170.5742082,161.2844531,163.2496264,1704.788158,1728.587648,1772.641011,1852.979231,2011.456812,2097.787134,2127.702892,2115.15606,2044.788074,2022.737427,1977.826391,1892.552668
"TFC3","YAL001C","ORF","147594-151166","-","I",NA,NA,NA,NA,"0005634; 0005634; 0005739; 0005739; 0006351; 0006355; 0001003; 0003677; 0000127; 0000127; 0071168; 0001002; 0001005; 0001002; 0001008; 0001009; 0042791; 0000127; 0008301; 0000127; 0005739; 0000799; 0005739; 0042791; 0001009; 0001041",11.86929165,11.63800714,11.51740191,11.44025633,11.78300963,11.55972093,11.37584554,11.5627831,10.77462395,10.21981652,9.682473881,9.259494937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEC31","YDL195W","ORF","107208-111029","+","IV",NA,NA,NA,NA,"0016192; 0005789; 0043332; 0012507; 0006810; 0016020; 0005783; 0005198; 0090114; 0030127; 0090114; 0015031; 0031410",43.26937221,40.82344767,37.85512719,34.85096287,29.89574379,29.23318457,30.5262489,36.45653467,35.12979653,32.44727585,27.99878465,21.92763821,725.0479677,725.084387,725.0657702,725.131379,726.1602081,720.3855948,720.2004135,721.3929747,726.5947943,735.7804489,732.2575185,703.4979674
"GPX2","YBR244W","ORF","707528-708016","+","II","glutathione-glutaredoxin redox reactions",0,0,1,"0004601; 0004602; 0005737; 0031314; 0004602; 0031315; 0016491; 0055114; 0055114; 0004602; 0004602; 0004602; 0047066; 0047066; 0005634; 0005737; 0034599; 0004602; 0006979",57.67164901,59.16462934,61.24482267,65.17054144,68.83344502,81.20269422,94.84040997,108.9099465,114.5319912,115.2052742,108.7886028,93.79247504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HHT1","YBR010W","ORF","256331-256741","+","II",NA,NA,NA,NA,"0005694; 0005694; 0000786; 0031298; 0005634; 0005634; 0003677; 0043935; 0009303; 0043505; 0046982; 0003677; 0000786; 0000788; 0070911; 0005634; 0003677; 0006333",1612.115844,1606.068679,1602.736362,1596.011152,1602.352172,1567.451895,1526.821684,1481.5408,1453.734902,1463.675992,1509.720312,1601.528592,528.4083229,531.88722,537.3166203,545.9519511,559.2706873,570.7347928,600.9625244,625.5244964,615.4059169,613.3379348,615.0816102,626.9005608
"CYC8","YBR112C","ORF","462870-465770","-","II",NA,NA,NA,NA,"0006355; 0001190; 0001190; 0001191; 0001190; 0006338; 0016584; 0000122; 0007070; 0042826; 0001191; 0005634; 0005634; 0035955; 0006351; 0017053; 0005634; 2001020; 2000531",44.591173,44.35464028,44.00844635,43.52672857,42.63563716,41.92207484,41.29371446,41.19246543,39.54005755,39.90696784,42.25766023,48.16339294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRG2","YBR066C","ORF","370037-370699","-","II",NA,NA,NA,NA,"0006355; 0043565; 0005634; 1900460; 1900460; 1900464; 0046872; 0005634; 0005634; 0046872; 0003677; 0006351; 0007124; 0003676; 0043709; 2000218; 0000433; 0000433",43.78566017,47.23624899,52.18536251,58.81967906,69.67660414,79.83573867,86.80983759,85.25040341,78.10982449,77.587521,81.30179748,95.76816449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRP5","YBR237W","ORF","691969-694518","+","II",NA,NA,NA,NA,"0003723; 0006397; 0008380; 0005634; 0005634; 0016787; 0004004; 0071013; 0000375; 0005682; 0010501; 0005524; 0008186; 0000166; 0003676; 0005524; 0004386; 0005634; 0000348",13.30627992,13.81264439,14.5662583,15.43112518,17.24656866,17.62170825,17.41238818,16.0075156,15.30176575,15.43909807,16.32584022,18.43637695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR259W","YBR259W","ORF","730387-732453","+","II",NA,NA,NA,NA,"0005575; 0003674; 0008150",10.99766534,11.16376756,11.33979142,11.4956725,11.67334583,11.61697221,11.51464059,11.60528343,11.0917525,10.95316927,11.1585241,12.09778876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAR028W","YAR028W","ORF","184892-185596","+","I",NA,NA,NA,NA,"0016020; 0016020; 0000329; 0016021; 0000329; 0008150; 0003674",33.43893832,33.01958085,32.43870237,31.80329931,30.43583092,30.38764581,31.10507264,33.78578663,33.50391148,33.16870349,32.78905175,32.93046943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMT2","YBR141C","ORF","527025-528038","-","II",NA,NA,NA,NA,"0016433; 0016433; 0005730; 0005730; 0008150; 0016740; 0005634; 0005730; 0016433; 0008168; 0008757; 0032259; 0005730",25.78733352,25.76798032,25.61940386,25.38424116,24.82852929,24.4383541,24.38383093,25.57376908,25.88295608,26.21271273,26.91116629,28.44209922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THI13","YDL244W","ORF","16204-17226","+","IV","thiamine biosynthesis",NA,NA,NA,"0009229; 0009228; 0009228; 0005575; 0009228; 0003674",1.217022475,1.223838656,1.267997479,1.333170212,1.537103301,1.587643588,1.620066173,1.534936173,1.708009802,2.17965016,2.988961567,4.267989294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAS3","YBL052C","ORF","119379-121874","-","II",NA,0,1,0,"0016573; 0004402; 0006351; 0046872; 0016746; 0016740; 0006348; 0030466; 0004402; 0005634; 0005634; 1990467; 0016747; 0016569; 0006355; 0004402; 0033100; 1990468; 0033100; 0006355; 0016569; 0016573",19.98522893,20.17906885,20.43341239,20.74092896,21.20164996,21.46755589,21.7488789,22.38485744,22.3043952,22.35993355,22.47352958,22.85515027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL071C","YBL071C","ORF","90223-90531","-","II",NA,NA,NA,NA,"0005575; 0008150; 0016020; 0016020; 0016021; 0003674",55.96735222,57.53639185,59.38241188,62.01724549,64.6243726,71.28158536,77.23309069,78.83203994,78.7888557,81.02337135,84.98459254,93.71805175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERP2","YAL007C","ORF","137698-138345","-","I",NA,NA,NA,NA,"0016021; 0006621; 0006888; 0030134; 0005783; 0005783; 0015031; 0006810; 0016020; 0016192; 0006810; 0016021; 0005789; 0003674",129.3300347,129.2851204,128.742728,127.6315496,125.2877458,122.1716046,119.6786585,121.0762695,120.0434402,119.156577,119.2096723,121.1927631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKL1","YBR059C","ORF","356861-360187","-","II",NA,0,1,0,"0016310; 0005628; 0030100; 0030036; 0005737; 0005935; 0000166; 0005524; 0004672; 0005524; 0006468; 0006468; 0004672; 0004672; 0004672; 0016301; 0004674; 0071944; 0005935; 0016740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.432333258,4.319281256,4.355175592,4.591150007,5.329237472,6.311304081,6.459564577,6.364534804,5.815911776,5.255244836,4.364875411,3.056233945
"RIF1","YBR275C","ORF","751356-757106","-","II",NA,1,0,0,"0000781; 0070187; 0000781; 0000784; 0042162; 0005634; 0005634; 0000723; 0030466; 0016233; 0000729; 0006270; 0006270; 0005694; 0007049",7.666867835,7.615527378,7.491163909,7.313360283,6.899318027,6.677282696,6.509263597,6.502100439,6.586410801,6.833437056,7.337367743,8.235241543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB6","YBR253W","ORF","723270-723635","+","II",NA,NA,NA,NA,"0006351; 0006357; 0016592; 0006355; 0045944; 0005634; 0001104; 0003674; 0070847; 0005634",69.5818696,70.02955445,70.89191488,71.72164925,73.7252771,73.1277164,71.84292705,70.21240679,63.91425674,63.84059751,69.12993355,84.16661993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DLD1","YDL174C","ORF","145826-147589","-","IV",NA,NA,NA,NA,"0055114; 0005743; 0016491; 0003824; 0005739; 0005739; 0005743; 0004458; 0005743; 1903457; 0005739; 0055114; 1903457; 0005739; 0016020; 0016614; 0016491; 0004458; 0050660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.450655,232.0059572,234.4823831,235.5105735,233.3657617,212.2008912,183.8642224,153.23385,137.7324239,126.1203408,122.5548213,129.4810007
"POL12","YBL035C","ORF","151493-153610","-","II",NA,NA,NA,NA,"0003887; 0016233; 0005634; 0046982; 0005634; 0005635; 0006260; 0005634; 0006273; 0006260; 0005658; 0016233; 0005658; 0016233; 0006270; 0005634; 0003887; 0003887; 0003677",10.07962023,10.17645009,10.30190455,10.46932148,10.69690529,10.98694148,11.28360304,11.62077136,11.5870097,11.44728502,11.15646475,10.75950364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL185C-A","YDL185C-A","ORF","126608-126835","-","IV",NA,NA,NA,NA,NA,87.25006225,85.28183502,82.62716196,79.65055218,74.42197781,72.82572435,72.18395929,73.22449292,71.17478478,67.71777376,62.81577534,56.27933743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIR2","YDL175C","ORF","144484-145518","-","IV",NA,NA,NA,NA,"0071039; 0031499; 0003676; 0004652; 0004652; 0043629; 0003723; 0071036; 0071037; 0071031; 0071038; 0071038; 0071038; 0071035; 0071035; 0046872; 0005634; 0005634; 0031499; 0008270; 0043633; 0004652; 0034459; 0006400; 0004652; 0043629; 0031499; 0005730; 0030674",27.71450545,27.90847477,27.99045093,27.90084462,27.61319316,26.46251828,26.16454944,29.19455678,32.32160422,32.49848122,30.35181231,23.91386776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL221W","YDL221W","ORF","62011-62562","+","IV",NA,NA,NA,NA,NA,9.886331557,10.32105136,10.76835165,11.08023924,11.44337012,10.70293514,10.23293048,11.28399844,12.64727834,12.8758848,12.23033705,9.783639447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMG1","YCR046C","ORF","209914-210423","-","III",NA,NA,NA,NA,"0005739; 0005739; 0003735; 0005622; 0005840; 0006412; 0005762; 0003735; 0005739; 0005739; 0032543; 0030529; 0005840",62.25719275,62.29531718,62.71464018,63.13216245,65.22159011,64.01987319,62.16391267,58.5097479,60.54099347,64.46198141,70.75645429,79.15281388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL108W","YBL108W","ORF","8177-8482","+","II",NA,NA,NA,NA,NA,0.503863541,0.59387103,0.669575576,0.731411916,0.740172753,0.739335236,0.77959119,1.012190128,1.122114442,1.189234532,1.242748098,1.29497854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHO3","YBR092C","ORF","427698-429101","-","II",NA,NA,NA,NA,"0003993; 0030287; 0005783; 0016791; 0003993; 0006796; 0016787; 0003993; 0042723",29.07187304,28.84160703,28.40078192,27.82218347,26.61345286,25.98866016,25.65993105,26.53797127,25.77543843,23.97095776,21.18404141,17.23396498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDC27","YBL084C","ORF","67169-69445","-","II",NA,NA,NA,NA,"0005737; 0051301; 0007067; 0016567; 0016567; 0004842; 0016567; 0005634; 0005634; 0031145; 0005680; 0007049; 0005737; 0031145; 0034399",13.54932034,13.49633869,13.46732376,13.51172842,13.65696587,13.84432662,14.44267232,16.818262,16.26148734,15.6145075,14.79838468,14.38313826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAC17","YCL063W","ORF","17290-18561","+","III",NA,0,0,1,"0043495; 0071563; 0000329; 0005773; 0016020; 0005774; 0000011; 0000011; 0000011; 0000011",23.925722,24.20683443,24.51837987,24.76740493,25.3691547,24.96894543,24.01290974,21.60613898,21.84683582,22.05581715,22.49664518,22.85746985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRS4","YBL068W","ORF","92414-93394","+","II","superpathway of histidine, purine, and pyrimidine biosynthesis",NA,NA,NA,"0046872; 0016310; 0004749; 0005737; 0031505; 0005737; 0006015; 0005737; 0000166; 0044249; 0009116; 0009165; 0009156; 0006015; 0004749; 0016301; 0004749; 0000287; 0005524; 0009165; 0016740; 0002189; 0006015",63.48825735,63.84482688,63.82943804,63.69977106,62.36473969,62.99028652,62.7786315,58.99412016,60.21797547,59.01982758,55.7273857,48.59895021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIM2","YBR192W","ORF","607652-608785","+","II",NA,NA,NA,NA,"0005739; 0005743; 0016021; 0005743; 0055085; 0016020; 0016021; 0005739; 0006810; 0005739; 0006864; 0015218; 0070838; 0055085; 0000002; 0005739; 0005215",25.86746079,25.32902728,24.40527322,23.23656814,20.9584484,19.81459738,18.97647366,18.73994756,19.30132483,19.90660834,21.09848694,23.09236657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
