"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN"
"PST2","YDR032C","ORF","504099-504695","-","IV"
"ARS450","ARS450","ARS","505343-505584","0","IV"
"MRH1","YDR033W","ORF","508147-509109","+","IV"
"LYS14","YDR034C","ORF","509737-512109","-","IV"
"YDRCdelta2","YDRCdelta2","long_terminal_repeat","512986-513258","-","IV"
"YDRCdelta3","YDRCdelta3","long_terminal_repeat","513259-513590","-","IV"
"YDRCTy2-1","YDRCTy2-1","LTR_retrotransposon","513692-519647","-","IV"
"YDRCdelta4","YDRCdelta4","long_terminal_repeat","513692-514020","-","IV"
"YDR034C-D","YDR034C-D","transposable_element_gene","514043-519356","-","IV"
"YDR034C-C","YDR034C-C","transposable_element_gene","518040-519356","-","IV"
"YDRCdelta5","YDRCdelta5","long_terminal_repeat","519316-519647","-","IV"
"tL(UAA)D","tL(UAA)D","tRNA_gene","519743-519826","+","IV"
"YDRCdelta6a","YDRCdelta6a","long_terminal_repeat","520173-520475","-","IV"
"YDRWdelta7","YDRWdelta7","long_terminal_repeat","520477-520805","+","IV"
"YDR034C-A","YDR034C-A","ORF","520516-520692","-","IV"
"YDRCdelta6b","YDRCdelta6b","long_terminal_repeat","520806-520833","-","IV"
"tQ(UUG)D1","tQ(UUG)D1","tRNA_gene","520972-521043","+","IV"
"YDR034W-B","YDR034W-B","ORF","521314-521469","+","IV"
"ARO3","YDR035W","ORF","521816-522928","+","IV"
"EHD3","YDR036C","ORF","523211-524713","-","IV"
"KRS1","YDR037W","ORF","525440-527215","+","IV"
"ENA5","YDR038C","ORF","527422-530697","-","IV"
"ENA2","YDR039C","ORF","531307-534582","-","IV"
"ENA1","YDR040C","ORF","535192-538467","-","IV"
"RSM10","YDR041W","ORF","539803-540414","+","IV"
"YDR042C","YDR042C","ORF","540601-541203","-","IV"
"SNR47","snR47","snoRNA_gene","541602-541700","-","IV"
"NRG1","YDR043C","ORF","542674-543369","-","IV"
"HEM13","YDR044W","ORF","546642-547628","+","IV"
"RPC11","YDR045C","ORF","547978-548310","-","IV"
"BAP3","YDR046C","ORF","548762-550576","-","IV"
"HEM12","YDR047W","ORF","551860-552948","+","IV"
"YDR048C","YDR048C","ORF","553084-553398","-","IV"
"VMS1","YDR049W","ORF","553254-555152","+","IV"
"ARS418","ARS418","ARS","555240-555404","0","IV"
"TPI1","YDR050C","ORF","555726-556472","-","IV"
"DET1","YDR051C","ORF","557056-558060","-","IV"
"DBF4","YDR052C","ORF","558511-560625","-","IV"
"YDR053W","YDR053W","ORF","560249-560644","+","IV"
"CDC34","YDR054C","ORF","561440-562327","-","IV"
"PST1","YDR055W","ORF","563527-564861","+","IV"
"EMC10","YDR056C","ORF","565023-565640","-","IV"
"YOS9","YDR057W","ORF","565927-567555","+","IV"
"ARS419","ARS419","ARS","567610-567685","0","IV"
"TGL2","YDR058C","ORF","567723-568703","-","IV"
"tR(UCU)D","tR(UCU)D","tRNA_gene","568882-568953","+","IV"
"tD(GUC)D","tD(GUC)D","tRNA_gene","568964-569035","+","IV"
"UBC5","YDR059C","ORF","569234-569770","-","IV"
"MAK21","YDR060W","ORF","570649-573726","+","IV"
"YDR061W","YDR061W","ORF","574164-575783","+","IV"
"LCB2","YDR062W","ORF","576474-578159","+","IV"
"AIM7","YDR063W","ORF","578663-579112","+","IV"
"RPS13","YDR064W","ORF","579458-580452","+","IV"
"RRG1","YDR065W","ORF","580687-581784","+","IV"
"RTR2","YDR066C","ORF","581908-582498","-","IV"
"OCA6","YDR067C","ORF","582791-583465","-","IV"
"DOS2","YDR068W","ORF","583713-584645","+","IV"
"DOA4","YDR069C","ORF","584939-587719","-","IV"
"FMP16","YDR070C","ORF","588098-588379","-","IV"
"PAA1","YDR071C","ORF","588827-589402","-","IV"
"IPT1","YDR072C","ORF","589761-591344","-","IV"
"SNF11","YDR073W","ORF","592439-592948","+","IV"
"TPS2","YDR074W","ORF","593893-596583","+","IV"
"PPH3","YDR075W","ORF","597156-598082","+","IV"
"RAD55","YDR076W","ORF","598468-599688","+","IV"
"SED1","YDR077W","ORF","600793-601809","+","IV"
"SHU2","YDR078C","ORF","602198-602869","-","IV"
"PET100","YDR079W","ORF","603064-603399","+","IV"
"TFB5","YDR079C-A","ORF","603593-603811","-","IV"
"VPS41","YDR080W","ORF","604008-606986","+","IV"
"PDC2","YDR081C","ORF","607304-610081","-","IV"
"STN1","YDR082W","ORF","610441-611925","+","IV"
"RRP8","YDR083W","ORF","612073-613251","+","IV"
"TVP23","YDR084C","ORF","613405-614004","-","IV"
"AFR1","YDR085C","ORF","614288-616150","-","IV"
"SSS1","YDR086C","ORF","616928-617170","-","IV"
"RRP1","YDR087C","ORF","617470-618306","-","IV"
"SLU7","YDR088C","ORF","618497-619645","-","IV"
"tR(ACG)D","tR(ACG)D","tRNA_gene","619969-620041","-","IV"
"YDR089W","YDR089W","ORF","622112-624721","+","IV"
"YDR090C","YDR090C","ORF","625066-625998","-","IV"
"RLI1","YDR091C","ORF","626708-628534","-","IV"
"ARS420","ARS420","ARS","628938-629582","0","IV"
"UBC13","YDR092W","ORF","629876-630605","+","IV"
"DNF2","YDR093W","ORF","631282-636120","+","IV"
"YDR094W","YDR094W","ORF","635840-636175","+","IV"
"YDR095C","YDR095C","ORF","636117-636527","-","IV"
"GIS1","YDR096W","ORF","637139-639823","+","IV"
"ARS421","ARS421","ARS","640006-640072","0","IV"
"MSH6","YDR097C","ORF","640109-643837","-","IV"
"GRX3","YDR098C","ORF","644178-644930","-","IV"
"tQ(UUG)D2","tQ(UUG)D2","tRNA_gene","645153-645224","-","IV"
"YDRCTy1-1","YDRCTy1-1","LTR_retrotransposon","645502-651419","-","IV"
"YDRCdelta7","YDRCdelta7","long_terminal_repeat","645502-645835","-","IV"
"YDR098C-B","YDR098C-B","transposable_element_gene","645858-651126","-","IV"
"YDR098C-A","YDR098C-A","transposable_element_gene","649804-651126","-","IV"
"YDRCdelta8","YDRCdelta8","long_terminal_repeat","651086-651419","-","IV"
"YDRCsigma1","YDRCsigma1","long_terminal_repeat","651420-651503","-","IV"
"YDRCdelta9","YDRCdelta9","long_terminal_repeat","651682-651980","-","IV"
"BMH2","YDR099W","ORF","653607-654428","+","IV"
"TVP15","YDR100W","ORF","655013-655444","+","IV"
"ARX1","YDR101C","ORF","655686-657467","-","IV"
"YDR102C","YDR102C","ORF","657648-657980","-","IV"
"STE5","YDR103W","ORF","658350-661103","+","IV"
"SPO71","YDR104C","ORF","661173-664910","-","IV"
"TMS1","YDR105C","ORF","665349-666770","-","IV"
"ARP10","YDR106W","ORF","667004-667858","+","IV"
"tI(AAU)D","tI(AAU)D","tRNA_gene","668007-668080","-","IV"
"YDRWsigma2","YDRWsigma2","long_terminal_repeat","668096-668436","+","IV"
"YDRWdelta10","YDRWdelta10","long_terminal_repeat","668543-668784","+","IV"
"TMN2","YDR107C","ORF","669016-671034","-","IV"
"TRS85","YDR108W","ORF","671269-673365","+","IV"
"YDR109C","YDR109C","ORF","673520-675667","-","IV"
"FOB1","YDR110W","ORF","676102-677802","+","IV"
"ALT2","YDR111C","ORF","678241-679764","-","IV"
"IRC2","YDR112W","ORF","679544-679852","+","IV"
"PDS1","YDR113C","ORF","680496-681617","-","IV"
"YDR114C","YDR114C","ORF","681924-682226","-","IV"
"MRX14","YDR115W","ORF","682175-682492","+","IV"
"MRPL1","YDR116C","ORF","682724-683581","-","IV"
"TMA64","YDR117C","ORF","683946-685643","-","IV"
"APC4","YDR118W","ORF","685882-687840","+","IV"
"YDR118W-A","YDR118W-A","ORF","687768-687884","+","IV"
"VBA4","YDR119W","ORF","688227-690533","+","IV"
"COX26","YDR119W-A","ORF","691014-691214","+","IV"
"TRM1","YDR120C","ORF","691549-693261","-","IV"
"DPB4","YDR121W","ORF","693585-694175","+","IV"
"KIN1","YDR122W","ORF","694700-697894","+","IV"
"INO2","YDR123C","ORF","698554-699468","-","IV"
"YDR124W","YDR124W","ORF","700315-701289","+","IV"
"ECM18","YDR125C","ORF","701397-702758","-","IV"
"ARS422","ARS422","ARS","702887-703132","0","IV"
"SWF1","YDR126W","ORF","703234-704244","+","IV"
"ARO1","YDR127W","ORF","704484-709250","+","IV"
"MTC5","YDR128W","ORF","709549-712995","+","IV"
"SAC6","YDR129C","ORF","713340-715379","-","IV"
"FIN1","YDR130C","ORF","715747-716622","-","IV"
"YDR131C","YDR131C","ORF","716790-718460","-","IV"
"YDR132C","YDR132C","ORF","718816-720303","-","IV"
"YDR133C","YDR133C","ORF","720962-721297","-","IV"
"YDR134C","YDR134C","blocked_reading_frame","721071-721481","-","IV"
"YCF1","YDR135C","ORF","723004-727551","-","IV"
"VPS61","YDR136C","ORF","727711-728283","-","IV"
"RGP1","YDR137W","ORF","728259-730250","+","IV"
"HPR1","YDR138W","ORF","730578-732836","+","IV"
"RUB1","YDR139C","ORF","733618-733924","-","IV"
"MTQ2","YDR140W","ORF","734138-734803","+","IV"
"DOP1","YDR141C","ORF","734901-739997","-","IV"
"PEX7","YDR142C","ORF","740473-741600","-","IV"
"SAN1","YDR143C","ORF","742042-743874","-","IV"
"MKC7","YDR144C","ORF","744311-746101","-","IV"
"TAF12","YDR145W","ORF","746738-748357","+","IV"
"ARS451","ARS451","ARS","748392-748637","0","IV"
"SWI5","YDR146C","ORF","748613-750742","-","IV"
"EKI1","YDR147W","ORF","751631-753235","+","IV"
"ARS423","ARS423","ARS","753242-753386","0","IV"
"KGD2","YDR148C","ORF","753675-755066","-","IV"
"YDR149C","YDR149C","ORF","755555-756262","-","IV"
"NUM1","YDR150W","ORF","755628-763874","+","IV"
"CTH1","YDR151C","ORF","764178-765155","-","IV"
"GIR2","YDR152W","ORF","765706-766503","+","IV"
"ENT5","YDR153C","ORF","766736-767971","-","IV"
"YDR154C","YDR154C","ORF","768403-768753","-","IV"
"CPR1","YDR155C","ORF","768512-769000","-","IV"
"RPA14","YDR156W","ORF","769525-769938","+","IV"
"YDR157W","YDR157W","ORF","769931-770332","+","IV"
"HOM2","YDR158W","ORF","770357-771454","+","IV"
"SAC3","YDR159W","ORF","771877-775782","+","IV"
"SSY1","YDR160W","ORF","776163-778721","+","IV"
"ACL4","YDR161W","ORF","779043-780206","+","IV"
"NBP2","YDR162C","ORF","780390-781100","-","IV"
"CWC15","YDR163W","ORF","781423-781950","+","IV"
"SEC1","YDR164C","ORF","782041-784215","-","IV"
"TRM82","YDR165W","ORF","784871-786205","+","IV"
"SEC5","YDR166C","ORF","786306-789221","-","IV"
"TAF10","YDR167W","ORF","789449-790069","+","IV"
"CDC37","YDR168W","ORF","790328-791848","+","IV"
"STB3","YDR169C","ORF","792348-793889","-","IV"
"YDR169C-A","YDR169C-A","ORF","794574-794723","-","IV"
"SEC7","YDR170C","ORF","796193-802222","-","IV"
"tQ(UUG)D3","tQ(UUG)D3","tRNA_gene","802731-802802","-","IV"
"YDRWdelta11","YDRWdelta11","long_terminal_repeat","802905-803235","+","IV"
"YDR170W-A","YDR170W-A","transposable_element_gene","803195-804517","+","IV"
"ARS425","ARS425","ARS","806052-806277","0","IV"
"HSP42","YDR171W","ORF","806621-807748","+","IV"
"SUP35","YDR172W","ORF","808324-810381","+","IV"
"ARG82","YDR173C","ORF","810565-811632","-","IV"
"HMO1","YDR174W","ORF","812110-812850","+","IV"
"RSM24","YDR175C","ORF","813193-814152","-","IV"
"NGG1","YDR176W","ORF","814452-816560","+","IV"
"UBC1","YDR177W","ORF","816878-817525","+","IV"
"SDH4","YDR178W","ORF","817950-818495","+","IV"
"CSN9","YDR179C","ORF","818708-819196","-","IV"
"NVJ3","YDR179W-A","ORF","819433-820824","+","IV"
"SCC2","YDR180W","ORF","821295-825776","+","IV"
"SAS4","YDR181C","ORF","825910-827355","-","IV"
"CDC1","YDR182W","ORF","827582-829057","+","IV"
"YDR182W-A","YDR182W-A","ORF","829151-829354","+","IV"
"PLP1","YDR183W","ORF","829585-830277","+","IV"
"YDR183C-A","YDR183C-A","ORF","830397-830654","-","IV"
"ATC1","YDR184C","ORF","830629-831513","-","IV"
"UPS3","YDR185C","ORF","831934-832473","-","IV"
"YDR186C","YDR186C","ORF","832859-835492","-","IV"
"YDR187C","YDR187C","ORF","836228-836746","-","IV"
"CCT6","YDR188W","ORF","836421-838061","+","IV"
"SLY1","YDR189W","ORF","838392-840392","+","IV"
"RVB1","YDR190C","ORF","840604-841995","-","IV"
"HST4","YDR191W","ORF","842337-843449","+","IV"
"NUP42","YDR192C","ORF","843569-844861","-","IV"
"YDR193W","YDR193W","ORF","844554-844952","+","IV"
"MSS116","YDR194C","ORF","845952-847946","-","IV"
"YDR194W-A","YDR194W-A","ORF","848071-848223","+","IV"
"REF2","YDR195W","ORF","848599-850200","+","IV"
"CAB5","YDR196C","ORF","850274-850999","-","IV"
"CBS2","YDR197W","ORF","851228-852397","+","IV"
"RKM2","YDR198C","ORF","852533-853972","-","IV"
"YDR199W","YDR199W","ORF","854175-854540","+","IV"
"VPS64","YDR200C","ORF","854279-856093","-","IV"
"SPC19","YDR201W","ORF","856317-856814","+","IV"
"RAV2","YDR202C","ORF","856898-857953","-","IV"
"YDR203W","YDR203W","ORF","857682-857999","+","IV"
"COQ4","YDR204W","ORF","858137-859144","+","IV"
"MSC2","YDR205W","ORF","859346-861520","+","IV"
"EBS1","YDR206W","ORF","862054-864708","+","IV"
"UME6","YDR207C","ORF","865012-867522","-","IV"
"MSS4","YDR208W","ORF","868224-870563","+","IV"
"YDR209C","YDR209C","ORF","871036-871449","-","IV"
"YDR210W","YDR210W","ORF","871074-871301","+","IV"
"YDRWdelta13","YDRWdelta13","long_terminal_repeat","871821-872152","+","IV"
"YDRWTy2-2","YDRWTy2-2","LTR_retrotransposon","871821-877779","+","IV"
"YDR210W-A","YDR210W-A","transposable_element_gene","872112-873428","+","IV"
"YDR210W-B","YDR210W-B","transposable_element_gene","872112-877425","+","IV"
"YDRWdelta14","YDRWdelta14","long_terminal_repeat","877448-877779","+","IV"
"YDRCTy1-2","YDRCTy1-2","LTR_retrotransposon","878303-884220","-","IV"
"YDR210C-D","YDR210C-D","transposable_element_gene","878659-883927","-","IV"
"YDR210C-C","YDR210C-C","transposable_element_gene","882605-883927","-","IV"
"tI(UAU)D","tI(UAU)D","tRNA_gene","884361-884493","+","IV"
"GCD6","YDR211W","ORF","884727-886865","+","IV"
"TCP1","YDR212W","ORF","887232-888911","+","IV"
"UPC2","YDR213W","ORF","889751-892492","+","IV"
"AHA1","YDR214W","ORF","892875-893927","+","IV"
"YDR215C","YDR215C","ORF","894089-894502","-","IV"
"ADR1","YDR216W","ORF","895035-899006","+","IV"
"ARS427","ARS427","ARS","899051-899596","0","IV"
"RAD9","YDR217C","ORF","899551-903480","-","IV"
"SPR28","YDR218C","ORF","903781-905052","-","IV"
"MFB1","YDR219C","ORF","905455-906852","-","IV"
"YDR220C","YDR220C","ORF","907000-907293","-","IV"
"GTB1","YDR221W","ORF","907330-909438","+","IV"
"YDR222W","YDR222W","ORF","910054-911301","+","IV"
"CRF1","YDR223W","ORF","912099-913502","+","IV"
"ARS428","ARS428","ARS","913790-914038","0","IV"
"HTB1","YDR224C","ORF","914317-914712","-","IV"
"HTA1","YDR225W","ORF","915530-915928","+","IV"
"ADK1","YDR226W","ORF","916486-917154","+","IV"
"SIR4","YDR227W","ORF","917571-921647","+","IV"
"ARS429","ARS429","ARS","921692-921939","0","IV"
"PCF11","YDR228C","ORF","921926-923806","-","IV"
"IVY1","YDR229W","ORF","924785-926146","+","IV"
"YDR230W","YDR230W","ORF","926223-926570","+","IV"
"COX20","YDR231C","ORF","926293-926910","-","IV"
"HEM1","YDR232W","ORF","927452-929098","+","IV"
"RTN1","YDR233C","ORF","929470-930357","-","IV"
"LYS4","YDR234W","ORF","931129-933210","+","IV"
"PRP42","YDR235W","ORF","933504-935138","+","IV"
"FMN1","YDR236C","ORF","935236-935892","-","IV"
"MRPL7","YDR237W","ORF","936615-937493","+","IV"
"SEC26","YDR238C","ORF","937895-940816","-","IV"
"YDR239C","YDR239C","ORF","941057-943420","-","IV"
"SNU56","YDR240C","ORF","943674-945152","-","IV"
"BUD26","YDR241W","ORF","945151-945438","+","IV"
"YDRWdelta12","YDRWdelta12","long_terminal_repeat","945351-945673","+","IV"
"YDRCsigma3","YDRCsigma3","long_terminal_repeat","945955-946295","-","IV"
"SUP2","tY(GUA)D","tRNA_gene","946312-946400","+","IV"
"AMD2","YDR242W","ORF","946807-948456","+","IV"
"PRP28","YDR243C","ORF","948518-950284","-","IV"
"PEX5","YDR244W","ORF","950563-952401","+","IV"
"MNN10","YDR245W","ORF","952800-953981","+","IV"
"TRS23","YDR246W","ORF","954288-954947","+","IV"
"YDR246W-A","YDR246W-A","ORF","955133-955333","+","IV"
"VHS1","YDR247W","ORF","956013-957398","+","IV"
"YDR248C","YDR248C","ORF","957758-958339","-","IV"
"YDR249C","YDR249C","ORF","958681-959802","-","IV"
"YDR250C","YDR250C","ORF","960086-960361","-","IV"
"PAM1","YDR251W","ORF","960614-963106","+","IV"
"BTT1","YDR252W","ORF","963412-963861","+","IV"
"MET32","YDR253C","ORF","963990-964565","-","IV"
"CHL4","YDR254W","ORF","965113-966489","+","IV"
"RMD5","YDR255C","ORF","966557-967822","-","IV"
"CTA1","YDR256C","ORF","968133-969680","-","IV"
"RKM4","YDR257C","ORF","969990-971474","-","IV"
"HSP78","YDR258C","ORF","971808-974243","-","IV"
"YAP6","YDR259C","ORF","974631-975782","-","IV"
"SWM1","YDR260C","ORF","976717-977229","-","IV"
"EXG2","YDR261C","ORF","977521-979209","-","IV"
"tS(AGA)D2","tS(AGA)D2","tRNA_gene","980974-981055","-","IV"
"YDRWdelta19","YDRWdelta19","long_terminal_repeat","981171-981502","+","IV"
"YDRWTy2-3","YDRWTy2-3","LTR_retrotransposon","981171-987125","+","IV"
"YDR261W-A","YDR261W-A","transposable_element_gene","981462-982778","+","IV"
"YDR261W-B","YDR261W-B","transposable_element_gene","981462-986775","+","IV"
"YDRWdelta20","YDRWdelta20","long_terminal_repeat","986794-987125","+","IV"
"YDRCTy1-3","YDRCTy1-3","LTR_retrotransposon","987150-992642","-","IV"
"YDRCdelta21","YDRCdelta21","long_terminal_repeat","987150-987483","-","IV"
"YDR261C-D","YDR261C-D","transposable_element_gene","987534-992349","-","IV"
"YDR261C-C","YDR261C-C","transposable_element_gene","991027-992349","-","IV"
"YDRCdelta22","YDRCdelta22","long_terminal_repeat","992309-992642","-","IV"
"YDRCsigma4","YDRCsigma4","long_terminal_repeat","992740-992815","-","IV"
"tG(GCC)D2","tG(GCC)D2","tRNA_gene","992832-992902","+","IV"
"YDR262W","YDR262W","ORF","993134-993952","+","IV"
"DIN7","YDR263C","ORF","994242-995534","-","IV"
"AKR1","YDR264C","ORF","996029-998323","-","IV"
"PEX10","YDR265W","ORF","998864-999877","+","IV"
"HEL2","YDR266C","ORF","1000104-1002023","-","IV"
"CIA1","YDR267C","ORF","1002510-1003502","-","IV"
"MSW1","YDR268W","ORF","1004004-1005143","+","IV"
"YDR269C","YDR269C","ORF","1005665-1005988","-","IV"
"CCC2","YDR270W","ORF","1005675-1008689","+","IV"
"YDR271C","YDR271C","ORF","1008395-1008766","-","IV"
"GLO2","YDR272W","ORF","1009010-1009834","+","IV"
"DON1","YDR273W","ORF","1010176-1011273","+","IV"
"YDR274C","YDR274C","ORF","1011589-1011960","-","IV"
"BSC2","YDR275W","ORF","1012252-1012959","+","IV"
"PMP3","YDR276C","ORF","1013476-1013643","-","IV"
"MTH1","YDR277C","ORF","1014401-1015702","-","IV"
"ARS430","ARS430","ARS","1016670-1016911","0","IV"
"YDR278C","YDR278C","ORF","1017001-1017318","-","IV"
"tE(CUC)D","tE(CUC)D","tRNA_gene","1017207-1017278","-","IV"
"RNH202","YDR279W","ORF","1019368-1020420","+","IV"
"RRP45","YDR280W","ORF","1020747-1021664","+","IV"
"PHM6","YDR281C","ORF","1022007-1022321","-","IV"
"YDRWsigma5","YDRWsigma5","long_terminal_repeat","1023137-1023477","+","IV"
"MRX10","YDR282C","ORF","1023511-1024755","-","IV"
"GCN2","YDR283C","ORF","1025070-1030049","-","IV"
"DPP1","YDR284C","ORF","1030550-1031419","-","IV"
"ZIP1","YDR285W","ORF","1032436-1035063","+","IV"
"YDR286C","YDR286C","ORF","1035231-1035575","-","IV"
"INM2","YDR287W","ORF","1035995-1036873","+","IV"
"NSE3","YDR288W","ORF","1037195-1038106","+","IV"
"RTT103","YDR289C","ORF","1038280-1039509","-","IV"
"YDR290W","YDR290W","ORF","1039370-1039699","+","IV"
"HRQ1","YDR291W","ORF","1039728-1042961","+","IV"
"SRP101","YDR292C","ORF","1043146-1045011","-","IV"
"SSD1","YDR293C","ORF","1045640-1049392","-","IV"
"DPL1","YDR294C","ORF","1050459-1052228","-","IV"
"HDA2","YDR295C","ORF","1052623-1054647","-","IV"
"MHR1","YDR296W","ORF","1055212-1055892","+","IV"
"SUR2","YDR297W","ORF","1056551-1057600","+","IV"
"ARS431","ARS431","ARS","1057841-1057951","0","IV"
"ATP5","YDR298C","ORF","1058176-1058814","-","IV"
"BFR2","YDR299W","ORF","1059627-1061231","+","IV"
"PRO1","YDR300C","ORF","1061505-1062791","-","IV"
"CFT1","YDR301W","ORF","1063352-1067425","+","IV"
"GPI11","YDR302W","ORF","1067731-1068390","+","IV"
"RSC3","YDR303C","ORF","1068729-1071386","-","IV"
"CPR5","YDR304C","ORF","1071880-1072557","-","IV"
"HNT2","YDR305C","ORF","1072746-1073488","-","IV"
"YDR306C","YDR306C","ORF","1073735-1075171","-","IV"
"tV(CAC)D","tV(CAC)D","tRNA_gene","1075472-1075544","-","IV"
"PMT7","YDR307W","ORF","1075865-1077853","+","IV"
"SRB7","YDR308C","ORF","1078027-1078449","-","IV"
"GIC2","YDR309C","ORF","1079048-1080199","-","IV"
"SUM1","YDR310C","ORF","1081128-1084316","-","IV"
"TFB1","YDR311W","ORF","1085065-1086993","+","IV"
"SSF2","YDR312W","ORF","1087581-1088942","+","IV"
"PIB1","YDR313C","ORF","1089219-1090079","-","IV"
"RAD34","YDR314C","ORF","1090433-1092511","-","IV"
"IPK1","YDR315C","ORF","1092741-1093586","-","IV"
"OMS1","YDR316W","ORF","1093763-1095178","+","IV"
"tF(GAA)D","tF(GAA)D","tRNA_gene","1095370-1095461","-","IV"
"YDRWdelta23","YDRWdelta23","long_terminal_repeat","1095767-1096104","+","IV"
"YDRWTy1-4","YDRWTy1-4","LTR_retrotransposon","1095767-1101692","+","IV"
"YDR316W-A","YDR316W-A","transposable_element_gene","1096064-1097386","+","IV"
"YDR316W-B","YDR316W-B","transposable_element_gene","1096064-1101332","+","IV"
"YDRWdelta24","YDRWdelta24","long_terminal_repeat","1101355-1101692","+","IV"
"HIM1","YDR317W","ORF","1102184-1103428","+","IV"
"MCM21","YDR318W","ORF","1103758-1104947","+","IV"
"YFT2","YDR319C","ORF","1105003-1105827","-","IV"
"SWA2","YDR320C","ORF","1106095-1108101","-","IV"
"DAD4","YDR320C-A","ORF","1108280-1108498","-","IV"
"YDR320W-B","YDR320W-B","ORF","1108484-1108621","+","IV"
"ASP1","YDR321W","ORF","1108702-1109847","+","IV"
"ARS452","ARS452","ARS","1109964-1110204","0","IV"
"MRPL35","YDR322W","ORF","1110589-1111692","+","IV"
"TIM11","YDR322C-A","ORF","1112003-1112293","-","IV"
"PEP7","YDR323C","ORF","1112480-1114027","-","IV"
"UTP4","YDR324C","ORF","1114433-1116763","-","IV"
"YCG1","YDR325W","ORF","1117126-1120233","+","IV"
"YSP2","YDR326C","ORF","1120609-1124925","-","IV"
"YDR327W","YDR327W","ORF","1125302-1125628","+","IV"
"SKP1","YDR328C","ORF","1125434-1126018","-","IV"
"PEX3","YDR329C","ORF","1126270-1127595","-","IV"
"UBX5","YDR330W","ORF","1127872-1129374","+","IV"
"GPI8","YDR331W","ORF","1129588-1130823","+","IV"
"IRC3","YDR332W","ORF","1131001-1133070","+","IV"
"RQC1","YDR333C","ORF","1133260-1135431","-","IV"
"SWR1","YDR334W","ORF","1135932-1140476","+","IV"
"MSN5","YDR335W","ORF","1141168-1144842","+","IV"
"MRX8","YDR336W","ORF","1145092-1146036","+","IV"
"MRPS28","YDR337W","ORF","1146319-1147179","+","IV"
"YDR338C","YDR338C","ORF","1147379-1149466","-","IV"
"FCF1","YDR339C","ORF","1149951-1150520","-","IV"
"tX(XXX)D","tX(XXX)D","tRNA_gene","1150842-1150941","-","IV"
"YDR340W","YDR340W","ORF","1150881-1151183","+","IV"
"YDRWdelta25","YDRWdelta25","long_terminal_repeat","1151039-1151368","+","IV"
"YDR341C","YDR341C","ORF","1151803-1153626","-","IV"
"HXT7","YDR342C","ORF","1154216-1155928","-","IV"
"ARS432","ARS432","ARS","1159262-1159510","0","IV"
"HXT6","YDR343C","ORF","1159608-1161320","-","IV"
"YDR344C","YDR344C","ORF","1162006-1162449","-","IV"
"HXT3","YDR345C","ORF","1162957-1164660","-","IV"
"ARS453","ARS453","ARS","1166067-1166212","0","IV"
"SVF1","YDR346C","ORF","1167214-1168659","-","IV"
"MRP1","YDR347W","ORF","1169178-1170143","+","IV"
"PAL1","YDR348C","ORF","1170326-1171825","-","IV"
"YPS7","YDR349C","ORF","1172386-1174176","-","IV"
"YDRCsigma6","YDRCsigma6","long_terminal_repeat","1175134-1175812","-","IV"
"YDRWdelta26","YDRWdelta26","long_terminal_repeat","1175316-1175647","+","IV"
"EMT1","tM(CAU)D","tRNA_gene","1175829-1175901","+","IV"
"ATP22","YDR350C","ORF","1176120-1178174","-","IV"
"SBE2","YDR351W","ORF","1178666-1181260","+","IV"
"YPQ2","YDR352W","ORF","1181801-1182754","+","IV"
"TRR1","YDR353W","ORF","1183299-1184258","+","IV"
"TRP4","YDR354W","ORF","1184747-1185889","+","IV"
"YDR354C-A","YDR354C-A","ORF","1185139-1185282","-","IV"
"YDR355C","YDR355C","ORF","1186067-1186369","-","IV"
"SPC110","YDR356W","ORF","1186107-1188941","+","IV"
"CNL1","YDR357C","ORF","1189199-1189567","-","IV"
"GGA1","YDR358W","ORF","1190059-1191732","+","IV"
"EAF1","YDR359C","ORF","1191936-1194884","-","IV"
"OPI7","YDR360W","ORF","1194598-1195032","+","IV"
"BCP1","YDR361C","ORF","1195412-1196263","-","IV"
"TFC6","YDR362C","ORF","1196679-1198697","-","IV"
"ETC6","ETC6","matrix_attachment_site","1198885-1198907","+","IV"
"ESC2","YDR363W","ORF","1199183-1200553","+","IV"
"tK(CUU)D1","tK(CUU)D1","tRNA_gene","1201750-1201822","+","IV"
"SEM1","YDR363W-A","ORF","1202128-1202397","+","IV"
"CDC40","YDR364C","ORF","1202843-1204210","-","IV"
"ESF1","YDR365C","ORF","1204497-1206383","-","IV"
"YDRWdelta27","YDRWdelta27","long_terminal_repeat","1206704-1207037","+","IV"
"YDRWTy1-5","YDRWTy1-5","LTR_retrotransposon","1206704-1212621","+","IV"
"YDR365W-A","YDR365W-A","transposable_element_gene","1206997-1208319","+","IV"
"YDR365W-B","YDR365W-B","transposable_element_gene","1206997-1212265","+","IV"
"YDRWdelta28","YDRWdelta28","long_terminal_repeat","1212288-1212621","+","IV"
"YDR366C","YDR366C","ORF","1212438-1212836","-","IV"
"KEI1","YDR367W","ORF","1212848-1213614","+","IV"
"YPR1","YDR368W","ORF","1213904-1214842","+","IV"
"XRS2","YDR369C","ORF","1215016-1217580","-","IV"
"DXO1","YDR370C","ORF","1217782-1219110","-","IV"
"CTS2","YDR371W","ORF","1219413-1220948","+","IV"
"YDR371C-A","YDR371C-A","ORF","1219509-1219613","-","IV"
"VPS74","YDR372C","ORF","1221112-1222149","-","IV"
"FRQ1","YDR373W","ORF","1222759-1223331","+","IV"
