Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
600	855228	SGS1	Sgs1p	Saccharomyces cerevisiae		YMR190C			decrease	Mutations cause premature ageing in mother cells including a shortened lifespan, sterility, and redistribution of the Sir3 silencing protein from telomeres to the nucleolus.	fitness			Mutations	2356: Sinclair et al. (1997) "Accelerated aging and nucleolar fragmentation in yeast sgs1 mutants."  Science 277(5330):1313-1316 (9271578)
600	855228	SGS1	Sgs1p	Saccharomyces cerevisiae		YMR190C			decrease	To investigate the role of the RecQ helicase domain in ageing, a point mutation (SGS1 K(706)-->A) known to eliminate the DNA helicase activity of Sgs1p was constructed. This mutant allele failed to rescue the premature ageing of the sgs1Delta strain, demonstrating that Sgs1p DNA helicase activity is required for a normal lifespan	pro			Mutation	2534: Mankouri and Morgan (2001) "The DNA helicase activity of yeast Sgs1p is essential for normal lifespan but not for resistance to topoisomerase inhibitors."  Mech. Ageing Dev. 122(11):1107-1120 (11389927)
600	855228	SGS1	Sgs1p	Saccharomyces cerevisiae		YMR190C			decrease	Replicative lifespan decreased by 30%	pro		30	Deletion	2305: McVey et al. (2001) "The short life span of Saccharomyces cerevisiae sgs1 and srs2 mutants is a composite of normal aging processes and mitotic arrest due to defective recombination."  Genetics 157(4):1531-1542 (11290710)
600	855228	SGS1	Sgs1p	Saccharomyces cerevisiae		YMR190C			decrease	A shortened life span 	pro			Mutation	2305: McVey et al. (2001) "The short life span of Saccharomyces cerevisiae sgs1 and srs2 mutants is a composite of normal aging processes and mitotic arrest due to defective recombination."  Genetics 157(4):1531-1542 (11290710)
679	853529	TOR1	PIK-related protein kinase and rapamycin target	Saccharomyces cerevisiae		YJR066W		DRR1	increase	Deletion increased mean and maximum lifespan by 20%.	anti	20	20	Deletion	1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
679	853529	TOR1	PIK-related protein kinase and rapamycin target	Saccharomyces cerevisiae		YJR066W		DRR1	increase	Deletion of TOR1 substantially extended chronological life span, increasing median survival almost 3-fold (wild-type 4.5 days, tor1 null 12 days). By 21 days in culture, the vast majorityof wild-type cells had died (>99.9%), whereas many tor1 null cells remained viable. Deletion of TOR1 also extended the chronological life span of the relatively short-lived strain BY4742, one of the two haploid genetic backgrounds of the widely used Yeast Knockout Collection available from Open Biosystems. Deletion of TOR1 fails to extendLS in Petite strains that are unable to respire	anti			Deletion	1849: Bonawitz et al. (2007) "Reduced TOR signaling extends chronological life span via increased respiration and upregulation of mitochondrial gene expression."  Cell Metab. 5(4):265-277 (17403371)
679	853529	TOR1	PIK-related protein kinase and rapamycin target	Saccharomyces cerevisiae		YJR066W		DRR1	increase	Mean chronological lifespan strongly increased in the a strain 	anti			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
679	853529	TOR1	PIK-related protein kinase and rapamycin target	Saccharomyces cerevisiae		YJR066W		DRR1	increase	Replicative lifespan increased by 30% in the alpha strain and 20% in a strain	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
774	852540	YBR238C	hypothetical protein	Saccharomyces cerevisiae		YBR238C			increase	Deletion increased mean replicative lifespan by 30%.	anti		30	Deletion	1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
774	852540	YBR238C	hypothetical protein	Saccharomyces cerevisiae		YBR238C			increase	Replicative lifespan increased by 30% in the alpha and a strains 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1130	852142	QCR7	ubiQuinol-cytochrome C oxidoReductase	Saccharomyces cerevisiae		YDR529C		COR4 CRO1 UCR7	decrease	Mean replicative lifespan decreased in the alpha and a strain 	fitness			Deletion	2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1130	852142	QCR7	ubiQuinol-cytochrome C oxidoReductase	Saccharomyces cerevisiae		YDR529C		COR4 CRO1 UCR7	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1340	853974	BAS1	BASal	Saccharomyces cerevisiae		YKR099W			increase	Mean chronological lifespan strongly increased in the a strain 	anti			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1340	853974	BAS1	BASal	Saccharomyces cerevisiae		YKR099W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
1340	853974	BAS1	BASal	Saccharomyces cerevisiae		YKR099W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1425	856415	RPS27B	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YHR021C			decrease	Replicative lifespan decreased by 20% in the alpha strain 	fitness		20	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1425	856415	RPS27B	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YHR021C			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1426	854301	EFT1	Elongation Factor Two	Saccharomyces cerevisiae		YOR133W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1427	851708	FIN1	Filaments In between Nuclei	Saccharomyces cerevisiae		YDR130C			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1429	856559	RTT107	Regulator of Ty1 Transposition	Saccharomyces cerevisiae		YHR154W		ESC4	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1430	855213	SIP18	Salt Induced Protein	Saccharomyces cerevisiae		YMR175W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1431	851704	SWF1	Spore Wall Formation	Saccharomyces cerevisiae		YDR126W		PSL10	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1431	851704	SWF1	Spore Wall Formation	Saccharomyces cerevisiae		YDR126W		PSL10	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1432	851663	YDR089W	hypothetical protein	Saccharomyces cerevisiae		YDR089W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1433	851855	YDR262W	hypothetical protein	Saccharomyces cerevisiae		YDR262W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1434	851146	TDA5	Topoisomerase I Damage Affected	Saccharomyces cerevisiae		YLR426W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1435	851182	YLR460C	hypothetical protein	Saccharomyces cerevisiae		YLR460C			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1437	855392	FIG4	Factor-Induced Gene	Saccharomyces cerevisiae		YNL325C			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1438	853878	FOX2	Fatty acid OXidation	Saccharomyces cerevisiae		YKR009C		POX2	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1440	851342	VMA1	Vacuolar Membrane Atpase	Saccharomyces cerevisiae		YDL185W		CLS8 TFP1	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1441	856357	WSC4	cell Wall integrity and Stress response Component	Saccharomyces cerevisiae		YHL028W		YFW1 YHC8	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1442	853562	YUH1	Yeast Ubiquitin Hydrolase	Saccharomyces cerevisiae		YJR099W			decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1443	854939	RPS1B	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YML063W		PLC2 RP10B	decrease	Replicative lifespan decreased by 30% in the alpha strain 	fitness		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1521	851902	PMT7	Pmt7p	Saccharomyces cerevisiae		YDR307W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1522	856935	YER186C	hypothetical protein	Saccharomyces cerevisiae		YER186C			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1523	856937	YER187W	hypothetical protein	Saccharomyces cerevisiae		YER187W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1524	856132	AGC1	Aspartate-Glutamate Carrier	Saccharomyces cerevisiae		YPR021C			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1525	853037	LSB1	Las Seventeen Binding protein	Saccharomyces cerevisiae		YGR136W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1526	854713	PRK1	p53 Regulatory Kinase	Saccharomyces cerevisiae		YIL095W		PAK1	increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1527	855022	YMR010W	hypothetical protein	Saccharomyces cerevisiae		YMR010W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1528	851477	RPL13A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YDL082W			increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1529	852489	RPL21A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YBR191W		URP1	increase	Replicative lifespan increased by 30% in the alpha strain 	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1590	852578	RIF1	RAP1-Interacting Factor	Saccharomyces cerevisiae		YBR275C			decrease	Replicative lifespan decreased by 30%	pro		30	Deletion	2371: Austriaco and Guarente (1997) "Changes of telomere length cause reciprocal changes in the lifespan of mother cells in Saccharomyces cerevisiae."  Proc. Natl. Acad. Sci. U.S.A. 94(18):9768-9772 (9275199)
1595	852250	PET9	PETite colonies	Saccharomyces cerevisiae		YBL030C		AAC2 ANC2	decrease	Replicative lifespan decreased by 30%	pro		30	Mutation	2506: Wang et al. (2008) "Dominant membrane uncoupling by mutant adenine nucleotide translocase in mitochondrial diseases."  Hum. Mol. Genet. 17(24):4036-4044 (18809618)
1606	851589	RPS11A	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YDR025W			increase	Replicative lifespan increased by 30% in alpha strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1606	851589	RPS11A	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YDR025W			increase	Replicative lifespan increased by 30% in alpha strain	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1607	856015	RPS6A	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YPL090C			increase	Replicative lifespan increased by 30% in alpha strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1607	856015	RPS6A	Ribosomal Protein of the Small subunit	Saccharomyces cerevisiae		YPL090C			increase	Replicative lifespan increased by 30% in alpha strain	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1628	853809	TMA19	Translation Machinery Associated	Saccharomyces cerevisiae		YKL056C		MMI1	increase	Replicative lifespan increased by 15%	anti		15	Deletion	2513: Rinnerthaler et al. (2006) "MMI1 (YKL056c, TMA19), the yeast orthologue of the translationally controlled tumor protein (TCTP) has apoptotic functions and interacts with both microtubules and mitochondria."  Biochim. Biophys. Acta 1757(5-6):631-638 (16806052)
1628	853809	TMA19	Translation Machinery Associated	Saccharomyces cerevisiae		YKL056C		MMI1	increase	Replicative lifespan increased by 30%-25% in the alpha and a strains 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1631	855926	CUP9	Cup9p	Saccharomyces cerevisiae		YPL177C			decrease	Replicative lifespan increased by 30% in the alpha and a strains 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1634	854811	YIA6	Yia6p	Saccharomyces cerevisiae		YIL006W		NDT1	decrease	Replicative lifespan decreased by 30% in the a strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1636	856098	TAE2	Translation Associated Element	Saccharomyces cerevisiae		YPL009C			decrease	Replicative lifespan decreased by 30% in the a strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1637	851879	ZIP1	molecular ZIPper	Saccharomyces cerevisiae		YDR285W			decrease	Replicative lifespan decreased by 30% in the a strain 	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1646	852068	TOM1	Temperature dependent Organization in Mitotic nucleus	Saccharomyces cerevisiae		YDR457W			increase	Replicative lifespan increased by 10%-20% in the alpha and a strains 	anti		20	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1646	852068	TOM1	Temperature dependent Organization in Mitotic nucleus	Saccharomyces cerevisiae		YDR457W			increase	Tom1 mutants exhibit increased replicative lifespan.	anti		30	Deletion	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
1657	852730	RPL9A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YGL147C			increase	Replicative lifespan increased by 30% in the alpha strain and 20% in a strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1657	852730	RPL9A	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YGL147C			increase	Replicative lifespan increased by 30% in the alpha strain and 20% in a strain	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1658	855658	RPL9B	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YNL067W			increase	Replicative lifespan increased by 30% in a strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1658	855658	RPL9B	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YNL067W			increase	Replicative lifespan increased by 30% in a strain	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1678	854914	PGA3	Processing of Gas1p and ALP	Saccharomyces cerevisiae		YML125C		NQR1	increase	Replicative and chronological lifespan extended by 20-30% lifespan	pro		30	Overexpression	2525: Jiménez-Hidalgo et al. (2009) "NQR1 controls lifespan by regulating the promotion of respiratory metabolism in yeast."  Aging Cell 8(2):140-151 (19239415)
1684	856002	ELP4	ELongator Protein	Saccharomyces cerevisiae		YPL101W		HAP1 KTI9 TOT7	increase	Replicative lifespan increased by 10-30% in both alpha and a strains	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1686	851909	RAD34	Homologous to RAD4	Saccharomyces cerevisiae		YDR314C			increase	Replicative lifespan increased by 30% in the a strain 	anti		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1688	856426	RRM3	rDNA Recombination Mutation	Saccharomyces cerevisiae		YHR031C		RTT104	decrease	Replicative lifespan decreased by 30% in the alpha and a strains 	fitness		30	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1693	850966	YPT6	Yeast Protein Two	Saccharomyces cerevisiae		YLR262C			increase	Replicative lifespan increased by 20%	anti		20	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1693	850966	YPT6	Yeast Protein Two	Saccharomyces cerevisiae		YLR262C			increase	Replicative lifespan increased by 30% in the alpha strain and by 10% in the a strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1715	855518	SPS19	SPorulation Specific transcript	Saccharomyces cerevisiae		YNL202W		SPX19	decrease	Replicative lifespan decreased by 30% in the a strain	fitness		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1717	850827	TIS11	similar to the mammalian TPA Induced Sequence gene family	Saccharomyces cerevisiae		YLR136C		CTH2	increase	Replicative lifespan increased by 30% in the alpha strain and increased by 25% in the a strain	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1721	853031	YGR130C	hypothetical protein	Saccharomyces cerevisiae		YGR130C			increase	Replicative lifespan increased by 30% in the alpha strain and increased by 20% in the a strain 	anti		30	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1721	853031	YGR130C	hypothetical protein	Saccharomyces cerevisiae		YGR130C			increase	Deletion of ygr130c extends chronological mean and maximum lifespan.	anti	50	18	Deletion	3491: Borklu Yucel and Ulgen (2011) "A network-based approach on elucidating the multi-faceted nature of chronological aging in S. cerevisiae."  PLoS ONE 6(12):e29284 (22216232)
1730	853557	RPL43B	Ribosomal Protein of the Large subunit	Saccharomyces cerevisiae		YPR043W			increase	Replicative lifespan increased by 30% in the alpha strain and by 30% in a strain	anti		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1732	851478	RPP1A	Ribosomal Protein P1 Alpha	Saccharomyces cerevisiae		YDL081C		RPLA1	decrease	Replicative lifespan decreased by 20% in the alpha strain and by 30% in the a strain 	fitness		30	Deletion	2505: Steffen et al. (2008) "Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4."  Cell 133(2):292-302 (18423200)
1834	855088	SOV1	Sov1p	Saccharomyces cerevisiae					increase	A SOV1 deletion extends life span without affecting steady-state levels of ROS or oxidative damage.	anti	50	30	Mutation	3272: Caballero et al. (2011) "Absence of mitochondrial translation control proteins extends life span by activating sirtuin-dependent silencing."  Mol. Cell 42(3):390-400 (21549315)
1870	850429	HCM1	Hcm1p	Saccharomyces cerevisiae					increase	Strong overexpression of HCM1 results in a 30% increase in yeast replicative lifespan when comparing to wild-type, while weaker overexpression has no effect on life span. Complementary, HCM1 deletion results in a 30% decrease in yeast replicative lifespan. Manipulation of HCM1 levels does not extend yeast chronological life span.	pro		30	Overexpression	3494: Maoz et al. (2015) "The yeast forkhead HCM1 controls life span independent of calorie restriction."  J. Gerontol. A Biol. Sci. Med. Sci. 70(4):444-453 (24835838)
1917	856519	SET1	histone methyltransferase SET1	Saccharomyces cerevisiae				KMT2 YTX1	decrease	Deletion of histone methyltransferase SET1 results in an decreased replicative lifespan.	fitness		29	Deletion	3524: Ryu et al. (2014) "Loss of the Set2 histone methyltransferase increases cellular lifespan in yeast cells."  Biochem. Biophys. Res. Commun. 446(1):113-118 (24607280)
2022	855126	MUB1	Mub1p	Saccharomyces cerevisiae					increase	Mub1 mutants exhibit increased replicative lifespan.	anti		29	Deletion	3563: Kruegel et al. (2011) "Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae."  PLoS Genet. 7(9):e1002253 (21931558)
2078	853465	TDH2	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2	Saccharomyces cerevisiae				GLD2	increase	Mutant cells lacking TDH2 display a longer replicative lifespan.	anti		29	Deletion	3483: Hachinohe et al. (2013) "A reduction in age-enhanced gluconeogenesis extends lifespan."  PLoS ONE 8(1):e54011 (23342062)
1863	854909	ERO1	ER oxidoreductin	Saccharomyces cerevisiae					increase	Deletion of ero1, a target of the unfolded protein response signaling, increases replicative lifespan. 	anti		28	Deletion	3493: Labunskyy et al. (2014) "Lifespan extension conferred by endoplasmic reticulum secretory pathway deficiency requires induction of the unfolded protein response."  PLoS Genet. 10(1):e1004019 (24391512)
1860	853290	SNA3	Sna3p	Saccharomyces cerevisiae					increase	Deletion of sna3 extends chronological mean and maximum lifespan.	anti	42	27	Deletion	3491: Borklu Yucel and Ulgen (2011) "A network-based approach on elucidating the multi-faceted nature of chronological aging in S. cerevisiae."  PLoS ONE 6(12):e29284 (22216232)
455	855176	NDE1	NADH-ubiquinone reductase (H(+)-translocating) NDE1	Saccharomyces cerevisiae		YMR145C		NDH1	increase	Overexpression of Nde1 and Nde2 resulted in a longer replicative lifespan (20-25%) on 2% glucose, but not on 0.5% glucose.	pro		25	Overexpression	2329: Lin et al. (2004) "Calorie restriction extends yeast life span by lowering the level of NADH."  Genes Dev. 18(1):12-16 (14724176)
455	855176	NDE1	NADH-ubiquinone reductase (H(+)-translocating) NDE1	Saccharomyces cerevisiae		YMR145C		NDH1	increase	Chronological lifespan extension	anti			Deletion	2330: Li et al. (2006) "Yeast AMID homologue Ndi1p displays respiration-restricted apoptotic activity and is involved in chronological aging."  Mol. Biol. Cell 17(4):1802-1811 (16436509)
456	851474	NDE2	NADH-ubiquinone reductase (H(+)-translocating) NDE2	Saccharomyces cerevisiae		YDL085W		NDH2	increase	Overexpression of Nde1 and Nde2 resulted in a longer replicative lifespan (20-25%) on 2% glucose, but not on 0.5% glucose.	pro		25	Overexpression	2329: Lin et al. (2004) "Calorie restriction extends yeast life span by lowering the level of NADH."  Genes Dev. 18(1):12-16 (14724176)
681	855898	TPK2	Tpk2p	Saccharomyces cerevisiae		YPL203W		PKA2 PKA3 YKR1	increase	Deletion of TPK2 in a tpk1 and tpk3 double mutant background extends lifespan by approximately 25%.	anti		25	Deletion	2260: Lin et al. (2000) "Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae."  Science 289(5487):2126-2128 (11000115)
1047	853775	CYT2	cytochrome c1 heme lyase CYT2	Saccharomyces cerevisiae		YKL087C			decrease	Mean replicative lifespan decreased in the alpha and a strain 	fitness			Deletion	2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1047	853775	CYT2	cytochrome c1 heme lyase CYT2	Saccharomyces cerevisiae		YKL087C			decrease	Replicative lifespan decreased by 25% in the alpha strain 	fitness		25	Deletion	2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
